     addr         pfn  soft-dirty    file/shared    swapped     present
0x71be09be2000    : 0          1          0          0          0         
0x71be09be3000    : 0          1          0          0          0         
0x71be09be4000    : 0          1          0          0          0         
0x71be09be5000    : 0          1          0          0          0         
0x71be09be6000    : 0          1          0          0          0         
0x71be09be7000    : 0          1          0          0          0         
0x71be09be8000    : 0          1          0          0          0         
0x71be09be9000    : 0          1          0          0          0         
0x71be09bea000    : 0          1          0          0          0         
0x71be09beb000    : 0          1          0          0          0         
0x71be09bec000    : 0          1          0          0          0         
0x71be09bed000    : 0          1          0          0          0         
0x71be09bee000    : 0          1          0          0          0         
0x71be09bef000    : 0          1          0          0          0         
0x71be09bf0000    : 0          1          0          0          0         
0x71be09bf1000    : 0          1          0          0          0         
0x71be09bf2000    : 1a2352     1          0          0          1         
0x71be09bf3000    : 34b9b3     1          0          0          1         
0x71be09bf4000    : 2bd278     1          0          0          1         
0x71be09bf5000    : 1d4c71     1          0          0          1         
0x71be09bf6000    : 260e93     1          0          0          1         
0x71be09bf7000    : 2f4461     1          0          0          1         
0x71be09bf8000    : 2dd3ae     1          0          0          1         
0x71be09bf9000    : 0          1          0          0          0         
0x71be09bfa000    : 0          1          0          0          0         
0x71be09bfb000    : 0          1          0          0          0         
0x71be09bfc000    : 3753b5     1          0          0          1         
0x71be09bfd000    : 25e788     1          0          0          1         
0x71be09bfe000    : 3c7a81     1          0          0          1         
0x71be09bff000    : 3753cd     1          0          0          1         
0x71be09c32000    : 3e1783     1          0          0          1         
0x71be09c33000    : 236d49     1          0          0          1         
0x71be09c34000    : 0          1          0          0          0         
